Gruppe,lfd.Nr.,Platz,Familienname,Vorname,Matrikelnummer,Kennzahl,Studien-ID,Studium,Anmeldedatum,E-Mail
Standardgruppe,4,fix,Johnson,Alice,11702736,20149053094,[UB 033 655],Bachelor of Arts in Geography,"07.02.2024,10:07",alice.johnson@example.com
Standardgruppe,5,fix,Smith,John,12022719,20146050174,[UB 033 655],Bachelor of Arts in Geography,"07.02.2024,11:21",john.smith@example.com
Standardgruppe,6,fix,Doe,Jane,12009597,20139081287,[UB 033 588],Bachelor of Science in Environmental Studies,"08.02.2024,10:19",jane.doe@example.com
Standardgruppe,1,fix,Brown,David,01341567,20119142623,[UB 033 655],Bachelor of Arts in Geography,"04.03.2024,09:12",david.brown@example.com
Standardgruppe,10,fix,Williams,Emily,12107822,20099045578,[UB 033 655],Bachelor of Arts in Geography,"15.02.2024,10:14",emily.williams@example.com
Standardgruppe,11,fix,Anderson,Michael,12033181,20137059237,[UB 033 655],Bachelor of Arts in Geography,"15.02.2024,14:37",michael.anderson@example.com
Standardgruppe,13,fix,Jackson,Sarah,52002516,20085058380,[UB 033 588],Bachelor of Science in Environmental Studies,"16.02.2024,18:28",sarah.jackson@example.com
Standardgruppe,2,fix,Miller,Emma,11906907,20105067756,[UB 033 655],Bachelor of Arts in Geography,"07.02.2024,08:00",emma.miller@example.com
Standardgruppe,3,fix,Davis,James,51901103,20114063522,[UB 033 588],Bachelor of Science in Environmental Studies,"07.02.2024,08:01",james.davis@example.com
Standardgruppe,9,fix,Wilson,Olivia,11912360,20103069810,[UB 033 588],Bachelor of Science in Environmental Studies,"14.02.2024,13:49",olivia.wilson@example.com
Standardgruppe,12,fix,Taylor,Nathan,01514811,20081046864,[UB 033 655],Bachelor of Arts in Geography,"15.02.2024,19:27",nathan.taylor@example.com
Standardgruppe,8,fix,Thomas,Emily,12007456,20165089177,[UB 033 588],Bachelor of Science in Environmental Studies,"09.02.2024,12:20",emily.thomas@example.com
Standardgruppe,7,fix,Roberts,Matthew,11916357,20126057790,[UB 033 588],Bachelor of Science in Environmental Studies,"08.02.2024,14:30",matthew.roberts@example.com
